parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct,eti_mean_pct,eti_2.5pc_pct,eti_97.5pc_pct
practice_intercept_offset[141],-0.654,0.039,-0.729,-0.585,0.011,0.003,13.0,57.0,1.61,-48.003823554273815,-51.7608859884874,-44.289413818782606,,,
practice_intercept_offset[142],-0.291,0.031,-0.35,-0.248,0.01,0.004,10.0,25.0,2.56,-25.24843219819089,-29.531191028128656,-21.96400567219657,,,
practice_intercept_offset[143],0.366,0.042,0.284,0.422,0.015,0.007,9.0,17.0,3.07,44.19552426545161,32.84329307527947,52.50085246832794,,,
practice_intercept_offset[144],0.12,0.037,0.046,0.171,0.013,0.007,9.0,23.0,2.8,12.749685157937574,4.707441095693721,18.64907490217118,,,
practice_intercept_offset[145],0.066,0.033,0.005,0.112,0.011,0.005,10.0,22.0,2.45,6.822671716599338,0.501252085940096,11.851286064504515,,,
practice_intercept_offset[146],-0.401,0.035,-0.467,-0.337,0.009,0.003,14.0,89.0,1.56,-33.034993896206544,-37.31199095876229,-28.609116009728,,,
practice_intercept_offset[147],-0.475,0.035,-0.542,-0.409,0.01,0.003,14.0,61.0,1.58,-37.811494353497984,-41.84160794108629,-33.568576767778325,,,
practice_intercept_offset[148],-0.626,0.032,-0.678,-0.549,0.01,0.007,13.0,23.0,1.66,-46.52735653680025,-49.23687597398673,-42.24729512380453,,,
practice_intercept_offset[149],0.228,0.037,0.159,0.276,0.013,0.006,10.0,20.0,2.48,25.608532543234407,17.233794668071756,31.78478640273033,,,
practice_intercept_offset[150],-0.05,0.032,-0.1,0.01,0.011,0.005,9.0,22.0,2.72,-4.877057549928598,-9.51625819640405,1.005016708416795,,,
practice_intercept_offset[151],-0.085,0.033,-0.15,-0.04,0.011,0.006,9.0,24.0,2.59,-8.148771559854262,-13.92920235749422,-3.9210560847676814,,,
practice_intercept_offset[152],-0.015,0.035,-0.083,0.033,0.012,0.006,9.0,22.0,2.66,-1.4888060396937353,-7.964885277987532,3.3550539241305355,,,
practice_intercept_offset[153],0.462,0.044,0.384,0.522,0.015,0.006,10.0,20.0,2.44,58.7245303225596,46.81454416819895,68.53950712974088,,,
practice_intercept_offset[154],0.377,0.041,0.288,0.452,0.014,0.01,9.0,20.0,3.21,45.790430937122586,33.375730412338456,57.145194857764906,,,
practice_intercept_offset[155],0.777,0.05,0.697,0.887,0.018,0.012,9.0,13.0,3.57,117.49376555176345,100.77205021801538,142.7835209469566,,,
practice_intercept_offset[156],0.37,0.04,0.297,0.457,0.014,0.01,9.0,14.0,3.38,44.773461466332456,34.581529944809766,57.93288842494408,,,
practice_intercept_offset[157],0.933,0.056,0.84,1.045,0.02,0.011,9.0,14.0,4.23,154.2124121855858,131.63669767810916,184.33985236517688,,,
practice_intercept_offset[158],0.56,0.044,0.483,0.658,0.015,0.011,9.0,14.0,3.56,75.06725002961012,62.092990501207424,93.09266167394624,,,
practice_intercept_offset[159],0.629,0.046,0.545,0.725,0.016,0.011,9.0,14.0,3.5,87.57339071775117,72.46083823764356,106.47310999664865,,,
practice_intercept_offset[160],0.862,0.053,0.783,0.979,0.018,0.012,9.0,13.0,3.65,136.7891744567051,118.80265087438823,166.17931174716438,,,
practice_intercept_offset[161],1.242,0.065,1.141,1.366,0.023,0.012,8.0,13.0,4.55,246.253160752892,212.9896697456783,291.9640733559024,,,
practice_intercept_offset[162],0.738,0.049,0.66,0.848,0.017,0.012,9.0,14.0,3.52,109.17478325432208,93.47923344020316,133.49722343978726,,,
practice_intercept_offset[163],0.517,0.044,0.429,0.6,0.015,0.01,9.0,17.0,3.6,67.69891283107623,53.57210343973493,82.21188003905088,,,
practice_intercept_offset[164],0.785,0.05,0.706,0.897,0.018,0.012,9.0,12.0,3.62,119.24069407332158,102.58715438680044,145.22353589775614,,,
practice_intercept_offset[165],0.988,0.057,0.9,1.106,0.02,0.012,9.0,14.0,4.08,168.58573822869892,145.960311115695,202.224520339094,,,
practice_intercept_offset[166],0.708,0.049,0.615,0.804,0.017,0.011,9.0,17.0,3.62,102.99273414013412,84.96565995583272,123.44609202967268,,,
practice_intercept_offset[167],1.31,0.067,1.216,1.448,0.024,0.013,8.0,13.0,4.39,270.6173712210199,237.36660440948168,325.4596806686198,,,
practice_intercept_offset[168],0.446,0.042,0.355,0.525,0.015,0.01,9.0,19.0,3.25,56.20514665337439,42.618065428148014,69.04588483790914,,,
practice_intercept_offset[169],1.079,0.059,0.996,1.208,0.021,0.013,9.0,12.0,3.97,194.1736343363576,170.74304184338024,234.67843857441525,,,
practice_intercept_offset[170],0.977,0.056,0.887,1.092,0.02,0.012,9.0,13.0,4.02,165.64748512756515,142.7835209469566,198.022857322402,,,
practice_intercept_offset[171],0.459,0.042,0.371,0.54,0.015,0.01,9.0,18.0,3.48,58.24907027825334,44.91830733866446,71.60068621848585,,,
