,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A82647],-0.207,0.089,-0.375,-0.037,0.0,0.001,38377.0,18680.0,1.0
1|practice_id[A82650],-0.053,0.089,-0.219,0.114,0.0,0.001,35712.0,19655.0,1.0
1|practice_id[A82651],-0.584,0.089,-0.749,-0.414,0.0,0.001,40313.0,19423.0,1.0
1|practice_id[A82654],0.213,0.09,0.042,0.38,0.0,0.001,39191.0,19744.0,1.0
1|practice_id[A83004],0.682,0.095,0.505,0.861,0.0,0.001,37340.0,18031.0,1.0
1|practice_id[A83005],0.023,0.09,-0.147,0.19,0.0,0.001,35869.0,19364.0,1.0
1|practice_id[A83006],-0.066,0.09,-0.234,0.107,0.0,0.001,36821.0,19169.0,1.0
1|practice_id[A83007],0.267,0.091,0.1,0.441,0.0,0.001,39192.0,18656.0,1.0
1|practice_id[A83008],0.023,0.09,-0.152,0.187,0.0,0.001,35225.0,19176.0,1.0
1|practice_id[A83009],0.412,0.09,0.248,0.582,0.0,0.001,36351.0,18557.0,1.0
1|practice_id[A83010],-0.14,0.091,-0.308,0.032,0.0,0.001,36517.0,19901.0,1.0
1|practice_id[A83012],0.439,0.091,0.271,0.613,0.0,0.001,35424.0,18608.0,1.0
1|practice_id[A83013],-0.005,0.092,-0.178,0.168,0.0,0.001,38387.0,19015.0,1.0
1|practice_id[A83014],-0.136,0.09,-0.305,0.033,0.0,0.001,38044.0,18750.0,1.0
1|practice_id[A83015],-0.205,0.09,-0.38,-0.044,0.0,0.001,36255.0,19358.0,1.0
1|practice_id[A83016],0.566,0.091,0.394,0.736,0.0,0.001,40773.0,19882.0,1.0
1|practice_id[A83017],0.258,0.097,0.073,0.439,0.001,0.001,35877.0,18739.0,1.0
1|practice_id[A83018],0.554,0.09,0.377,0.715,0.0,0.001,39213.0,19508.0,1.0
1|practice_id[A83019],0.116,0.099,-0.066,0.306,0.001,0.001,33662.0,20382.0,1.0
1|practice_id[A83021],0.199,0.091,0.028,0.369,0.0,0.001,38252.0,19454.0,1.0
1|practice_id[A83023],0.268,0.091,0.101,0.444,0.0,0.001,39703.0,18764.0,1.0
1|practice_id[A83024],-0.034,0.09,-0.207,0.132,0.0,0.001,33145.0,18571.0,1.0
1|practice_id[A83025],0.349,0.089,0.176,0.513,0.0,0.001,35280.0,19488.0,1.0
1|practice_id[A83026],-0.103,0.092,-0.269,0.076,0.0,0.001,42746.0,19920.0,1.0
1|practice_id[A83027],0.205,0.091,0.032,0.372,0.0,0.001,40877.0,18819.0,1.0
1|practice_id[A83028],0.255,0.091,0.085,0.423,0.0,0.001,37579.0,19088.0,1.0
1|practice_id[A83029],-0.389,0.091,-0.557,-0.217,0.0,0.001,39720.0,17938.0,1.0
1|practice_id[A83031],0.111,0.09,-0.06,0.277,0.0,0.001,40159.0,19186.0,1.0
1|practice_id[A83032],0.026,0.09,-0.139,0.2,0.0,0.001,38178.0,18819.0,1.0
1|practice_id[A83033],-0.051,0.091,-0.219,0.12,0.0,0.001,43050.0,20049.0,1.0
1|practice_id[A83034],0.189,0.09,0.018,0.355,0.0,0.001,35841.0,18860.0,1.0
1|practice_id[A83037],0.398,0.091,0.227,0.57,0.0,0.001,37598.0,18852.0,1.0
1|practice_id[A83038],0.017,0.09,-0.153,0.184,0.0,0.001,42812.0,19765.0,1.0
1|practice_id[A83040],0.077,0.091,-0.088,0.25,0.0,0.001,37498.0,19092.0,1.0
1|practice_id[A83041],0.616,0.09,0.446,0.786,0.0,0.001,37776.0,19324.0,1.0
1|practice_id[A83042],0.456,0.114,0.242,0.671,0.001,0.001,34265.0,19146.0,1.0
1|practice_id[A83043],-0.276,0.091,-0.452,-0.111,0.0,0.001,36572.0,19359.0,1.0
1|practice_id[A83044],0.288,0.091,0.116,0.456,0.0,0.001,37807.0,19208.0,1.0
1|practice_id[A83045],0.076,0.09,-0.087,0.251,0.0,0.001,37079.0,18528.0,1.0
1|practice_id[A83046],0.224,0.09,0.057,0.392,0.0,0.001,37894.0,20117.0,1.0
1|practice_id[A83047],0.081,0.09,-0.091,0.247,0.0,0.001,39183.0,19774.0,1.0
1|practice_id[A83048],-0.028,0.089,-0.198,0.135,0.0,0.001,37099.0,19556.0,1.0
1|practice_id[A83049],0.01,0.09,-0.158,0.179,0.0,0.001,36791.0,19588.0,1.0
