,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A83026],-0.198,0.088,-0.365,-0.034,0.0,0.001,36732.0,18985.0,1.0
1|practice_id[A83027],0.173,0.088,0.008,0.338,0.0,0.001,34160.0,20395.0,1.0
1|practice_id[A83028],0.19,0.088,0.022,0.353,0.001,0.001,30580.0,19357.0,1.0
1|practice_id[A83029],-0.134,0.087,-0.293,0.036,0.0,0.001,33758.0,19404.0,1.0
1|practice_id[A83031],0.209,0.088,0.048,0.378,0.001,0.001,28280.0,19872.0,1.0
1|practice_id[A83032],-0.201,0.088,-0.369,-0.039,0.0,0.001,30940.0,18959.0,1.0
1|practice_id[A83033],-0.119,0.089,-0.285,0.048,0.0,0.001,37364.0,19291.0,1.0
1|practice_id[A83034],0.059,0.088,-0.104,0.225,0.0,0.001,32224.0,19222.0,1.0
1|practice_id[A83037],0.691,0.088,0.528,0.86,0.0,0.001,32512.0,19152.0,1.0
1|practice_id[A83038],-0.195,0.089,-0.357,-0.024,0.0,0.001,37631.0,18705.0,1.0
1|practice_id[A83040],0.212,0.089,0.047,0.379,0.0,0.001,32722.0,19905.0,1.0
1|practice_id[A83041],0.465,0.088,0.296,0.628,0.0,0.001,32970.0,19386.0,1.0
1|practice_id[A83042],-0.18,0.104,-0.379,0.012,0.001,0.001,28808.0,19741.0,1.0
1|practice_id[A83043],0.167,0.088,-0.002,0.329,0.001,0.001,30609.0,19213.0,1.0
1|practice_id[A83044],0.154,0.087,-0.009,0.317,0.0,0.001,31684.0,19720.0,1.0
1|practice_id[A83045],-0.036,0.088,-0.201,0.129,0.0,0.001,31838.0,19684.0,1.0
1|practice_id[A83046],0.443,0.089,0.27,0.604,0.0,0.001,31347.0,19613.0,1.0
1|practice_id[A83047],0.256,0.088,0.091,0.422,0.0,0.001,33713.0,19791.0,1.0
1|practice_id[A83048],-0.111,0.089,-0.279,0.054,0.001,0.001,31051.0,19069.0,1.0
1|practice_id[A83049],-0.006,0.087,-0.164,0.163,0.0,0.001,33769.0,20055.0,1.0
1|practice_id[A83050],0.017,0.089,-0.153,0.18,0.0,0.001,34727.0,18982.0,1.0
